Symbol,Company Name,Prediction Horizon (Years),As Of Date,Predicted Total Return (%),Predicted CAGR (%),Annualized Volatility (%),Latest P/E Ratio,Latest Beta,Composite Risk Score,Risk Band (Composite),Risk Band (Volatility Only),Conservative Band,Expected Band,Optimistic Band
BLISSGVS.NS,Bliss GVS Pharma Limited,1,18-06-2025,14.18,14.18,55.26,17.69,0.97,0.5169,Medium,High,13.18% – 14.18%,15.18% – 17.18%,18.18% – 22.18%
EMAMIPAP.NS,Emami Paper Mills Limited,1,18-06-2025,14.12,14.12,38.18,28.64,0.04,0.3987,Medium,High,13.12% – 14.12%,15.12% – 17.12%,18.12% – 22.12%
ASIANTILES.NS,Asian Granito India Limited,1,18-06-2025,14.05,14.05,48.49,33.81,0.28,0.5461,Medium,High,13.05% – 14.05%,15.05% – 17.05%,18.05% – 22.05%
GODREJCP.NS,Godrej Consumer Products Limited,1,18-06-2025,14.05,14.05,26.7,66.18,0.28,0.467,Medium,Medium,13.05% – 14.05%,15.05% – 17.05%,18.05% – 22.05%
PPL.NS,Prakash Pipes Limited,1,18-06-2025,13.95,13.95,48.1,11.57,0.16,0.381,Medium,High,12.95% – 13.95%,14.95% – 16.95%,17.95% – 21.95%
ABCAPITAL.NS,Aditya Birla Capital Limited,1,18-06-2025,13.95,13.95,32.6,20.29,0.61,0.2939,Low,High,12.95% – 13.95%,14.95% – 16.95%,17.95% – 21.95%
AKZOINDIA.NS,Akzo Nobel India Limited,1,18-06-2025,13.87,13.87,38.44,34.25,0.3,0.4493,Medium,High,12.87% – 13.87%,14.87% – 16.87%,17.87% – 21.87%
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,1,18-06-2025,13.68,13.68,135.68,5.4,0.58,0.566,Medium,High,12.68% – 13.68%,14.68% – 16.68%,17.68% – 21.68%
TTKHLTCARE.NS,TTK Healthcare Limited,1,18-06-2025,13.68,13.68,29.8,21.71,0.26,0.2555,Low,Medium,12.68% – 13.68%,14.68% – 16.68%,17.68% – 21.68%
KRISHANA.NS,Krishana Phoschem Limited,1,18-06-2025,13.67,13.67,40.51,36.85,-0.37,0.4923,Medium,High,12.67% – 13.67%,14.67% – 16.67%,17.67% – 21.67%
WHIRLPOOL.NS,Whirlpool of India Limited,1,18-06-2025,13.47,13.47,42.09,47.55,0.21,0.5999,Medium,High,12.47% – 13.47%,14.47% – 16.47%,17.47% – 21.47%
SHRIRAMFIN.NS,Shriram Finance Limited,1,18-06-2025,13.46,13.46,37.31,13.27,0.8,0.3323,Medium,High,12.46% – 13.46%,14.46% – 16.46%,17.46% – 21.46%
DWARKESH.NS,Dwarikesh Sugar Industries Limited,1,18-06-2025,13.35,13.35,42.3,37.42,0.3,0.5152,Medium,High,12.35% – 13.35%,14.35% – 16.35%,17.35% – 21.35%
PURVA.NS,Puravankara Limited,1,18-06-2025,13,13,52.93,,0.44,,Unknown,High,12.0% – 13.0%,14.0% – 16.0%,17.0% – 21.0%
ASHAPURMIN.NS,Ashapura Minechem Limited,1,18-06-2025,12.77,12.77,61,12.36,0.51,0.4014,Medium,High,11.77% – 12.77%,13.77% – 15.77%,16.77% – 20.77%
KILITCH.NS,Kilitch Drugs (India) Limited,1,18-06-2025,12.58,12.58,43,26.79,-0.24,0.431,Medium,High,11.58% – 12.58%,13.58% – 15.58%,16.58% – 20.58%
NILAINFRA.NS,Nila Infrastructures Limited,1,18-06-2025,12.53,12.53,56.93,24.04,0.62,0.5017,Medium,High,11.53% – 12.53%,13.53% – 15.53%,16.53% – 20.53%
TITAN.NS,Titan Company Limited,1,18-06-2025,12.43,12.43,23.14,93.54,0.34,0.4314,Medium,Medium,11.43% – 12.43%,13.43% – 15.43%,16.43% – 20.43%
SPLIL.NS,SPL Industries Limited,1,18-06-2025,12.28,12.28,41.89,11.54,0.14,0.3189,Medium,High,11.28% – 12.28%,13.28% – 15.28%,16.28% – 20.28%
JSWHL.NS,JSW Holdings Limited,1,18-06-2025,12.15,12.15,56.35,121.89,0.3,0.7,High,High,11.15% – 12.15%,13.15% – 15.15%,16.15% – 20.15%
NATIONALUM.NS,National Aluminium Company Limited,1,18-06-2025,11.89,11.89,41.98,6.47,0.96,0.5622,Medium,High,10.89% – 11.89%,12.89% – 14.89%,15.89% – 19.89%
VIVIDHA.NS,Visagar Polytex Limited,1,18-06-2025,11.81,11.81,39.78,,0.8,,Unknown,High,10.81% – 11.81%,12.81% – 14.81%,15.81% – 19.81%
MIRZAINT.NS,Mirza International Limited,1,18-06-2025,11.75,11.75,41.68,,-0.69,,Unknown,High,10.75% – 11.75%,12.75% – 14.75%,15.75% – 19.75%
AKASH.NS,Akash Infra-Projects Limited,1,18-06-2025,11.66,11.66,52.69,96.03,1.02,0.8036,High,High,10.66% – 11.66%,12.66% – 14.66%,15.66% – 19.66%
INDTERRAIN.NS,Indian Terrain Fashions Limited,1,18-06-2025,11.65,11.65,50.57,,0.35,,Unknown,High,10.65% – 11.65%,12.65% – 14.65%,15.65% – 19.65%
MCLEODRUSS.NS,McLeod Russel India Limited,1,18-06-2025,11.62,11.62,60.5,,0.54,,Unknown,High,10.62% – 11.62%,12.62% – 14.62%,15.62% – 19.62%
IIFL.NS,IIFL Finance Limited,1,18-06-2025,11.57,11.57,43.5,55.74,0.48,0.635,High,High,10.57% – 11.57%,12.57% – 14.57%,15.57% – 19.57%
MINDTECK.NS,Mindteck (India) Limited,1,18-06-2025,11.45,11.45,63.76,26.82,0.35,0.5013,Medium,High,10.45% – 11.45%,12.45% – 14.45%,15.45% – 19.45%
ASHOKLEY.NS,Ashok Leyland Limited,1,18-06-2025,11.45,11.45,29.67,22.18,0.34,0.2583,Low,Medium,10.45% – 11.45%,12.45% – 14.45%,15.45% – 19.45%
DECCANCE.NS,Deccan Cements Limited,1,18-06-2025,11.43,11.43,41.71,136.58,0.01,0.6171,High,High,10.43% – 11.43%,12.43% – 14.43%,15.43% – 19.43%
HOVS.NS,HOV Services Limited,1,18-06-2025,11.06,11.06,55.9,17.61,-0.04,0.4224,Medium,High,10.06% – 11.06%,12.06% – 14.06%,15.06% – 19.06%
RCF.NS,Rashtriya Chemicals and Fertilizers Limited,1,18-06-2025,10.91,10.91,51.44,35.83,0.34,0.5785,Medium,High,9.91% – 10.91%,11.91% – 13.91%,14.91% – 18.91%
SUBROS.NS,Subros Limited,1,18-06-2025,10.81,10.81,50.94,41.83,0.32,0.63,High,High,9.81% – 10.81%,11.81% – 13.81%,14.81% – 18.81%
LINCOLN.NS,Lincoln Pharmaceuticals Limited,1,18-06-2025,10.76,10.76,48.05,14.02,0.31,0.3805,Medium,High,9.76% – 10.76%,11.76% – 13.76%,14.76% – 18.76%
LIBAS.NS,Libas Consumer Products Limited,1,18-06-2025,10.72,10.72,45.43,35.64,0.21,0.5312,Medium,High,9.72% – 10.72%,11.72% – 13.72%,14.72% – 18.72%
RALLIS.NS,Rallis India Limited,1,18-06-2025,10.71,10.71,43.22,49.08,0.47,0.6243,High,High,9.71% – 10.71%,11.71% – 13.71%,14.71% – 18.71%
IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited,1,18-06-2025,10.68,10.68,25.61,46.26,0.07,0.424,Medium,Medium,9.68% – 10.68%,11.68% – 13.68%,14.68% – 18.68%
KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited,1,18-06-2025,10.61,10.61,50.78,27.76,0.35,0.5094,Medium,High,9.61% – 10.61%,11.61% – 13.61%,14.61% – 18.61%
SHIVAMAUTO.NS,Shivam Autotech Limited,1,18-06-2025,10.51,10.51,61.22,,0.02,,Unknown,High,9.51% – 10.51%,11.51% – 13.51%,14.51% – 18.51%
CESC.NS,CESC Limited,1,18-06-2025,10.31,10.31,39.17,15.95,0.09,0.2998,Low,High,9.31% – 10.31%,11.31% – 13.31%,14.31% – 18.31%
TFL.NS,Transwarranty Finance Limited,1,18-06-2025,10.08,10.08,43.05,,-0.01,,Unknown,High,9.08% – 10.08%,11.08% – 13.08%,14.08% – 18.08%
SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited,1,18-06-2025,10.02,10.02,50.95,93.03,0.51,0.7018,High,High,9.02% – 10.02%,11.02% – 13.02%,14.02% – 18.02%
VIDHIING.NS,Vidhi Specialty Food Ingredients Limited,1,18-06-2025,9.86,9.86,40.73,49.04,,,Unknown,High,8.86% – 9.86%,10.86% – 12.86%,13.86% – 17.86%
NESTLEIND.NS,Nestlé India Limited,1,18-06-2025,9.53,9.53,17.88,70.26,0.2,0.3788,Medium,Medium,8.53% – 9.53%,10.53% – 12.53%,13.53% – 17.53%
CANFINHOME.NS,Can Fin Homes Limited,1,18-06-2025,9.4,9.4,30.9,12.16,0.4,0.209,Low,High,8.4% – 9.4%,10.4% – 12.4%,13.4% – 17.4%
NAVKARCORP.NS,Navkar Corporation Limited,1,18-06-2025,9.39,9.39,55.43,,0.27,,Unknown,High,8.39% – 9.39%,10.39% – 12.39%,13.39% – 17.39%
JKLAKSHMI.NS,JK Lakshmi Cement Limited,1,18-06-2025,9.32,9.32,29.18,32.22,0.4,0.3394,Medium,Medium,8.32% – 9.32%,10.32% – 12.32%,13.32% – 17.32%
CORALFINAC.NS,Coral India Finance and Housing Limited,1,18-06-2025,9.14,9.14,55.01,10.28,-0.04,0.4,Medium,High,8.14% – 9.14%,10.14% – 12.14%,13.14% – 17.14%
SAMMAANCAP.NS,Sammaan Capital Limited,1,18-06-2025,9.12,9.12,43.32,,0.61,,Unknown,High,8.12% – 9.12%,10.12% – 12.12%,13.12% – 17.12%
SEYAIND.NS,Seya Industries Limited,1,18-06-2025,9.07,9.07,47.1,,-0.62,,Unknown,High,8.07% – 9.07%,10.07% – 12.07%,13.07% – 17.07%
MARICO.NS,Marico Limited,1,18-06-2025,8.94,8.94,24.54,55.18,0.17,0.4454,Medium,Medium,7.94% – 8.94%,9.94% – 11.94%,12.94% – 16.94%
KOTAKBANK.NS,Kotak Mahindra Bank Limited,1,18-06-2025,8.94,8.94,22.51,19.28,0.36,0.1618,Low,Medium,7.94% – 8.94%,9.94% – 11.94%,12.94% – 16.94%
SYNGENE.NS,Syngene International Limited,1,18-06-2025,8.92,8.92,29.37,52.04,0.15,0.4937,Medium,Medium,7.92% – 8.92%,9.92% – 11.92%,12.92% – 16.92%
ESTER.NS,Ester Industries Limited,1,18-06-2025,8.89,8.89,60.6,89.03,0.06,0.7,High,High,7.89% – 8.89%,9.89% – 11.89%,12.89% – 16.89%
SOTL.NS,Savita Oil Technologies Limited,1,18-06-2025,8.71,8.71,38.26,25.26,0.17,0.3705,Medium,High,7.71% – 8.71%,9.71% – 11.71%,12.71% – 16.71%
GFLLIMITED.NS,GFL Limited,1,18-06-2025,8.66,8.66,52.42,,-0.36,,Unknown,High,7.66% – 8.66%,9.66% – 11.66%,12.66% – 16.66%
SAIL.NS,Steel Authority of India Limited,1,18-06-2025,8.65,8.65,37.54,21.93,1.43,0.5214,Medium,High,7.65% – 8.65%,9.65% – 11.65%,12.65% – 16.65%
MUNJALAU.NS,Munjal Auto Industries Limited,1,18-06-2025,8.61,8.61,51.16,20.71,0.43,0.449,Medium,High,7.61% – 8.61%,9.61% – 11.61%,12.61% – 16.61%
MAHESHWARI.NS,Maheshwari Logistics Limited,1,18-06-2025,8.55,8.55,37.52,9.42,-0.14,0.4252,Medium,High,7.55% – 8.55%,9.55% – 11.55%,12.55% – 16.55%
ENIL.NS,Entertainment Network (India) Limited,1,18-06-2025,8.54,8.54,42.21,60.32,0.19,0.6221,High,High,7.54% – 8.54%,9.54% – 11.54%,12.54% – 16.54%
APLAPOLLO.NS,APL Apollo Tubes Limited,1,18-06-2025,8.51,8.51,29.85,65.79,0.42,0.4985,Medium,Medium,7.51% – 8.51%,9.51% – 11.51%,12.51% – 16.51%
RESPONIND.NS,Responsive Industries Limited,1,18-06-2025,8.49,8.49,38.38,27.72,0.66,0.4241,Medium,High,7.49% – 8.49%,9.49% – 11.49%,12.49% – 16.49%
WANBURY.NS,Wanbury Limited,1,18-06-2025,8.46,8.46,58.92,32.22,0.34,0.5476,Medium,High,7.46% – 8.46%,9.46% – 11.46%,12.46% – 16.46%
CREATIVE.NS,Creative Newtech Limited,1,18-06-2025,8.27,8.27,51.14,21.02,0.44,0.4516,Medium,High,7.27% – 8.27%,9.27% – 11.27%,12.27% – 16.27%
VESUVIUS.NS,Vesuvius India Limited,1,18-06-2025,8.19,8.19,40.72,43.5,0.32,0.5515,Medium,High,7.19% – 8.19%,9.19% – 11.19%,12.19% – 16.19%
AROGRANITE.NS,Aro Granite Industries Limited,1,18-06-2025,8.17,8.17,44.42,,0.25,,Unknown,High,7.17% – 8.17%,9.17% – 11.17%,12.17% – 16.17%
CAPLIPOINT.NS,Caplin Point Laboratories Limited,1,18-06-2025,8.05,8.05,49.66,29.84,0.3,0.5238,Medium,High,7.05% – 8.05%,9.05% – 11.05%,12.05% – 16.05%
DEVIT.NS,Dev Information Technology Limited,1,18-06-2025,7.92,7.92,56.62,16.37,-0.4,0.4118,Medium,High,6.92% – 7.92%,8.92% – 10.92%,11.92% – 15.92%
TCIEXP.NS,TCI Express Limited,1,18-06-2025,7.88,7.88,33.26,33.9,0.23,0.3946,Medium,High,6.88% – 7.88%,8.88% – 10.88%,11.88% – 15.88%
KSL.NS,Kalyani Steels Limited,1,18-06-2025,7.85,7.85,45.41,15.13,0.55,0.3647,Medium,High,6.85% – 7.85%,8.85% – 10.85%,11.85% – 15.85%
ROLLT.NS,Rollatainers Limited,1,18-06-2025,7.83,7.83,50.5,,1.48,,Unknown,High,6.83% – 7.83%,8.83% – 10.83%,11.83% – 15.83%
HONDAPOWER.NS,Honda India Power Products Limited,1,18-06-2025,7.7,7.7,46.87,35.27,0.74,0.5896,Medium,High,6.7% – 7.7%,8.7% – 10.7%,11.7% – 15.7%
VASWANI.NS,Vaswani Industries Limited,1,18-06-2025,7.4,7.4,70.38,16.3,0.98,0.5079,Medium,High,6.4% – 7.4%,8.4% – 10.4%,11.4% – 15.4%
RAMCOCEM.NS,The Ramco Cements Limited,1,18-06-2025,7.35,7.35,24.66,89.63,-0.08,0.4466,Medium,Medium,6.35% – 7.35%,8.35% – 10.35%,11.35% – 15.35%
AARTISURF.NS,Aarti Surfactants Limited,1,18-06-2025,7.14,7.14,46.87,31.85,1.24,0.6606,High,High,6.14% – 7.14%,8.14% – 10.14%,11.14% – 15.14%
INDSWFTLAB.NS,Ind-Swift Laboratories Limited,1,18-06-2025,7.09,7.09,56.78,1.71,0.3,0.55,Medium,High,6.09% – 7.09%,8.09% – 10.09%,11.09% – 15.09%
PREMIER.NS,Premier Limited,1,18-06-2025,7.06,7.06,50.54,,0.02,,Unknown,High,6.06% – 7.06%,8.06% – 10.06%,11.06% – 15.06%
MANAKALUCO.NS,Manaksia Aluminium Company Limited,1,18-06-2025,6.96,6.96,63.12,27.92,0.04,0.5108,Medium,High,5.96% – 6.96%,7.96% – 9.96%,10.96% – 14.96%
ELGIEQUIP.NS,Elgi Equipments Limited,1,18-06-2025,6.91,6.91,44.56,47.32,0.06,0.6226,High,High,5.91% – 6.91%,7.91% – 9.91%,10.91% – 14.91%
WORTH.NS,Worth Peripherals Limited,1,18-06-2025,6.62,6.62,57.86,14.73,-0.21,0.4,Medium,High,5.62% – 6.62%,7.62% – 9.62%,10.62% – 14.62%
GANGESSECU.NS,Ganges Securities Limited,1,18-06-2025,6.48,6.48,49.99,32.96,0.18,0.5539,Medium,High,5.48% – 6.48%,7.48% – 9.48%,10.48% – 14.48%
AKSHARCHEM.NS,AksharChem (India) Limited,1,18-06-2025,6.43,6.43,44.07,41.32,0.18,0.5662,Medium,High,5.43% – 6.43%,7.43% – 9.43%,10.43% – 14.43%
NILKAMAL.NS,Nilkamal Limited,1,18-06-2025,6.41,6.41,23.05,24.19,0.12,0.2092,Low,Medium,5.41% – 6.41%,7.41% – 9.41%,10.41% – 14.41%
BATAINDIA.NS,Bata India Limited,1,18-06-2025,6.35,6.35,24.7,46.99,0.33,0.4212,Medium,Medium,5.35% – 6.35%,7.35% – 9.35%,10.35% – 14.35%
WSTCSTPAPR.NS,West Coast Paper Mills Limited,1,18-06-2025,6.33,6.33,36.45,10.8,-0.23,0.2645,Low,High,5.33% – 6.33%,7.33% – 9.33%,10.33% – 14.33%
GODREJPROP.NS,Godrej Properties Limited,1,18-06-2025,6.32,6.32,39.35,50.29,0.5,0.5941,Medium,High,5.32% – 6.32%,7.32% – 9.32%,10.32% – 14.32%
SBILIFE.NS,SBI Life Insurance Company Limited,1,18-06-2025,6.28,6.28,24.47,74.83,0.45,0.4447,Medium,Medium,5.28% – 6.28%,7.28% – 9.28%,10.28% – 14.28%
ALPHAGEO.NS,Alphageo (India) Limited,1,18-06-2025,6.1,6.1,54.03,,0.4,,Unknown,High,5.1% – 6.1%,7.1% – 9.1%,10.1% – 14.1%
APCL.NS,Anjani Portland Cement Limited,1,18-06-2025,6.07,6.07,45.99,,0.19,,Unknown,High,5.07% – 6.07%,7.07% – 9.07%,10.07% – 14.07%
ASTRON.NS,Astron Paper & Board Mill Limited,1,18-06-2025,6.07,6.07,44.98,,0.07,,Unknown,High,5.07% – 6.07%,7.07% – 9.07%,10.07% – 14.07%
DLF.NS,DLF Limited,1,18-06-2025,6.06,6.06,34.34,47.85,0.41,0.525,Medium,High,5.06% – 6.06%,7.06% – 9.06%,10.06% – 14.06%
INDHOTEL.NS,The Indian Hotels Company Limited,1,18-06-2025,6.02,6.02,34.6,56.47,-0.13,0.546,Medium,High,5.02% – 6.02%,7.02% – 9.02%,10.02% – 14.02%
CAPACITE.NS,Capacit'e Infraprojects Limited,1,18-06-2025,5.71,5.71,42.45,13.61,0.05,0.3245,Medium,High,4.71% – 5.71%,6.71% – 8.71%,9.71% – 13.71%
HINDALCO.NS,Hindalco Industries Limited,1,18-06-2025,5.67,5.67,29.96,8.93,1.02,0.454,Medium,Medium,4.67% – 5.67%,6.67% – 8.67%,9.67% – 13.67%
EQUITASBNK.NS,Equitas Small Finance Bank Limited,1,18-06-2025,5.56,5.56,34.26,50.12,-0.07,0.5426,Medium,High,4.56% – 5.56%,6.56% – 8.56%,9.56% – 13.56%
PFIZER.NS,Pfizer Limited,1,18-06-2025,5.56,5.56,30.25,34.38,0.18,0.3686,Medium,High,4.56% – 5.56%,6.56% – 8.56%,9.56% – 13.56%
ZODIACLOTH.NS,Zodiac Clothing Company Limited,1,18-06-2025,5.18,5.18,51.17,,-0.08,,Unknown,High,4.18% – 5.18%,6.18% – 8.18%,9.18% – 13.18%
AUSOMENT.NS,AuSom Enterprise Limited,1,18-06-2025,5.04,5.04,53.28,7.72,-0.12,0.55,Medium,High,4.04% – 5.04%,6.04% – 8.04%,9.04% – 13.04%
IMPEXFERRO.NS,Impex Ferro Tech Limited,1,18-06-2025,4.8,4.8,43.25,,-0.45,,Unknown,High,3.8% – 4.8%,5.8% – 7.8%,8.8% – 12.8%
VGUARD.NS,V-Guard Industries Limited,1,18-06-2025,4.76,4.76,29.89,52.88,0.09,0.4989,Medium,Medium,3.76% – 4.76%,5.76% – 7.76%,8.76% – 12.76%
UNIDT.NS,United Drilling Tools Limited,1,18-06-2025,4.72,4.72,45.06,32.93,0.23,0.5043,Medium,High,3.72% – 4.72%,5.72% – 7.72%,8.72% – 12.72%
MCX.NS,Multi Commodity Exchange of India Limited,1,18-06-2025,4.6,4.6,39.69,72.37,0.43,0.5969,Medium,High,3.6% – 4.6%,5.6% – 7.6%,8.6% – 12.6%
ASTRAMICRO.NS,Astra Microwave Products Limited,1,18-06-2025,4.56,4.56,41.03,69.93,0.15,0.6103,High,High,3.56% – 4.56%,5.56% – 7.56%,8.56% – 12.56%
EIDPARRY.NS,E.I.D.- Parry (India) Limited,1,18-06-2025,4.56,4.56,36.59,19.38,0.18,0.3035,Medium,High,3.56% – 4.56%,5.56% – 7.56%,8.56% – 12.56%
LAGNAM.NS,Lagnam Spintex Limited,1,18-06-2025,4.54,4.54,52.76,14.49,0.5,0.4,Medium,High,3.54% – 4.54%,5.54% – 7.54%,8.54% – 12.54%
SWELECTES.NS,Swelect Energy Systems Limited,1,18-06-2025,4.14,4.14,57.4,60.98,0.83,0.7662,High,High,3.14% – 4.14%,5.14% – 7.14%,8.14% – 12.14%
ITI.NS,ITI Limited,1,18-06-2025,4.14,4.14,64.03,,-0.07,,Unknown,High,3.14% – 4.14%,5.14% – 7.14%,8.14% – 12.14%
PETRONET.NS,Petronet LNG Limited,1,18-06-2025,4.12,4.12,28.6,11.18,0.26,0.186,Low,Medium,3.12% – 4.12%,5.12% – 7.12%,8.12% – 12.12%
PRICOLLTD.NS,Pricol Limited,1,18-06-2025,4.03,4.03,34.24,32.61,-0.31,0.3933,Medium,High,3.03% – 4.03%,5.03% – 7.03%,8.03% – 12.03%
SKFINDIA.NS,SKF India Limited,1,18-06-2025,4.03,4.03,26.39,40.3,0.22,0.3807,Medium,Medium,3.03% – 4.03%,5.03% – 7.03%,8.03% – 12.03%
REMSONSIND.NS,Remsons Industries Limited,1,18-06-2025,3.97,3.97,49.29,33.62,1.04,0.6605,High,High,2.97% – 3.97%,4.97% – 6.97%,7.97% – 11.97%
SUNFLAG.NS,Sunflag Iron and Steel Company Limited,1,18-06-2025,3.87,3.87,49.61,31.33,0.72,0.5805,Medium,High,2.87% – 3.87%,4.87% – 6.87%,7.87% – 11.87%
SANDHAR.NS,Sandhar Technologies Limited,1,18-06-2025,3.83,3.83,43.69,23.04,0.41,0.4058,Medium,High,2.83% – 3.83%,4.83% – 6.83%,7.83% – 11.83%
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,1,18-06-2025,3.79,3.79,46.3,69.13,0,0.663,High,High,2.79% – 3.79%,4.79% – 6.79%,7.79% – 11.79%
SIGIND.NS,Signet Industries Limited,1,18-06-2025,3.78,3.78,54.67,12.52,0.25,0.4,Medium,High,2.78% – 3.78%,4.78% – 6.78%,7.78% – 11.78%
MOKSH.NS,Moksh Ornaments Limited,1,18-06-2025,3.32,3.32,65.33,11.74,-0.42,0.4,Medium,High,2.32% – 3.32%,4.32% – 6.32%,7.32% – 11.32%
GVPTECH.NS,GVP Infotech Limited,1,18-06-2025,3.25,3.25,44.81,68.13,-1.14,0.6481,High,High,2.25% – 3.25%,4.25% – 6.25%,7.25% – 11.25%
SAMPANN.NS,Sampann Utpadan India Limited,1,18-06-2025,3.24,3.24,54.51,29.55,0.31,0.5247,Medium,High,2.24% – 3.24%,4.24% – 6.24%,7.24% – 11.24%
NFL.NS,National Fertilizers Limited,1,18-06-2025,3.13,3.13,50.61,26.43,0.46,0.4979,Medium,High,2.13% – 3.13%,4.13% – 6.13%,7.13% – 11.13%
LAXMICOT.NS,Laxmi Cotspin Limited,1,18-06-2025,3.05,3.05,62.76,,-0.64,,Unknown,High,2.05% – 3.05%,4.05% – 6.05%,7.05% – 11.05%
ORIENTELEC.NS,Orient Electric Limited,1,18-06-2025,2.98,2.98,38.29,56.63,0.04,0.5829,Medium,High,1.98% – 2.98%,3.98% – 5.98%,6.98% – 10.98%
SANOFI.NS,Sanofi India Limited,1,18-06-2025,2.98,2.98,42.95,38.53,0.07,0.5312,Medium,High,1.98% – 2.98%,3.98% – 5.98%,6.98% – 10.98%
BROOKS.NS,Brooks Laboratories Limited,1,18-06-2025,2.95,2.95,57.68,,0.72,,Unknown,High,1.95% – 2.95%,3.95% – 5.95%,6.95% – 10.95%
HAVISHA.NS,Sri Havisha Hospitality and Infrastructure Limited,1,18-06-2025,2.91,2.91,58.11,,0.73,,Unknown,High,1.91% – 2.91%,3.91% – 5.91%,6.91% – 10.91%
PODDARMENT.NS,Poddar Pigments Limited,1,18-06-2025,2.84,2.84,41.38,14.09,-0.24,0.3138,Medium,High,1.84% – 2.84%,3.84% – 5.84%,6.84% – 10.84%
NCLIND.NS,NCL Industries Limited,1,18-06-2025,2.82,2.82,33.93,37.89,-0.08,0.4355,Medium,High,1.82% – 2.82%,3.82% – 5.82%,6.82% – 10.82%
CSBBANK.NS,CSB Bank Limited,1,18-06-2025,2.79,2.79,29.06,11.31,0.1,0.1906,Low,Medium,1.79% – 2.79%,3.79% – 5.79%,6.79% – 10.79%
RTNINDIA.NS,RattanIndia Enterprises Limited,1,18-06-2025,2.65,2.65,50.05,93.82,0.72,0.7448,High,High,1.65% – 2.65%,3.65% – 5.65%,6.65% – 10.65%
SMLISUZU.NS,SML Isuzu Limited,1,18-06-2025,2.57,2.57,48.75,22.28,0.02,0.4499,Medium,High,1.57% – 2.57%,3.57% – 5.57%,6.57% – 10.57%
TIL.NS,TIL Limited,1,18-06-2025,2.51,2.51,51.49,845.35,1.14,0.8276,High,High,1.51% – 2.51%,3.51% – 5.51%,6.51% – 10.51%
ROSSARI.NS,Rossari Biotech Limited,1,18-06-2025,2.49,2.49,31.74,27.58,0.26,0.3253,Medium,High,1.49% – 2.49%,3.49% – 5.49%,6.49% – 10.49%
MCL.NS,Madhav Copper Limited,1,18-06-2025,2.41,2.41,59.18,32,0.56,0.5583,Medium,High,1.41% – 2.41%,3.41% – 5.41%,6.41% – 10.41%
DTIL.NS,Dhunseri Tea & Industries Limited,1,18-06-2025,2.39,2.39,51.79,,0.11,,Unknown,High,1.39% – 2.39%,3.39% – 5.39%,6.39% – 10.39%
GMRAIRPORT.NS,GMR Airports Limited,1,18-06-2025,2.37,2.37,30.89,,0.7,,Unknown,High,1.37% – 2.37%,3.37% – 5.37%,6.37% – 10.37%
JAIPURKURT.NS,Nandani Creation Limited,1,18-06-2025,2.35,2.35,64.97,21.95,-0.01,0.4596,Medium,High,1.35% – 2.35%,3.35% – 5.35%,6.35% – 10.35%
OCCL.NS,AG Ventures Limited,1,18-06-2025,2.27,2.27,97.36,79.44,0.06,0.7,High,High,1.27% – 2.27%,3.27% – 5.27%,6.27% – 10.27%
NETWORK18.NS,Network18 Media & Investments Limited,1,18-06-2025,2.26,2.26,47.25,,0.09,,Unknown,High,1.26% – 2.26%,3.26% – 5.26%,6.26% – 10.26%
VIPIND.NS,V.I.P. Industries Limited,1,18-06-2025,2.05,2.05,42.07,,0.16,,Unknown,High,1.05% – 2.05%,3.05% – 5.05%,6.05% – 10.05%
BOROLTD.NS,Borosil Limited,1,18-06-2025,2.04,2.04,43.27,54.8,0.5,0.6327,High,High,1.04% – 2.04%,3.04% – 5.04%,6.04% – 10.04%
TNPETRO.NS,Tamilnadu Petroproducts Limited,1,18-06-2025,2.01,2.01,34.99,14.43,0.23,0.2499,Low,High,1.01% – 2.01%,3.01% – 5.01%,6.01% – 10.01%
BAJAJFINSV.NS,Bajaj Finserv Ltd.,1,18-06-2025,1.93,1.93,25.6,36.01,0.65,0.3661,Medium,Medium,0.93% – 1.93%,2.93% – 4.93%,5.93% – 9.93%
CCHHL.NS,Country Club Hospitality & Holidays Limited,1,18-06-2025,1.85,1.85,58.95,62.96,0.16,0.7,High,High,0.85% – 1.85%,2.85% – 4.85%,5.85% – 9.85%
UNITEDPOLY.NS,United Polyfab Gujarat Limited,1,18-06-2025,1.74,1.74,49.88,33.2,-0.02,0.5548,Medium,High,0.74% – 1.74%,2.74% – 4.74%,5.74% – 9.74%
MTEDUCARE.NS,MT Educare Limited,1,18-06-2025,1.71,1.71,43.97,,-0.08,,Unknown,High,0.71% – 1.71%,2.71% – 4.71%,5.71% – 9.71%
ASALCBR.NS,Associated Alcohols & Breweries Limited,1,18-06-2025,1.67,1.67,56.83,27.4,0.09,0.5063,Medium,High,0.67% – 1.67%,2.67% – 4.67%,5.67% – 9.67%
INDIAMART.NS,IndiaMART InterMESH Limited,1,18-06-2025,1.61,1.61,34.61,26.76,0.55,0.3575,Medium,High,0.61% – 1.61%,2.61% – 4.61%,5.61% – 9.61%
